"Dell","http://accessories.us.dell.com/sna/sna.aspx?c=us&cs=19&l=en&s=dhs&~topic=daily_deals_available&~srd=true&sk=Daily_Deals&scat=prod&~srd=true&sk=daily_deals&scat=prod",,"Electronics / Computers","N",,"N",,
"Denali","http://www.shop-denali.com/Default.aspx",,"Outdoors / Sports","N",,"Y","http://www.shop-denali.com/Affliate.aspx",
"Dept of Deals","http://www.deptofdeals.com/",,"?","N",,"N",,"2nd deal on the site - see site"
"Desert Shaman","http://onedaydeal.net/Ancient-Incense-Smoke-Shop/index.php",,"?","Y","http://feeds.feedburner.com/desertshaman?format=xml","N",,
"Design By Humans","http://www.designbyhumans.com/",,"Clothing / Jewelry","N",,"N",,
"DiamondShark","http://www.diamondshark.com/",,"Clothing / Jewelry","Y","http://feeds.feedburner.com/Diamondshark-DailyDealRssFeed?format=xml","Y",,
"dillyeo","http://www.dillyeo.com/",,"?","N",,"Y","http://dillyeo.com/affiliates",
"DinoDirect","http://www.dinodirect.com/DailyDeal",,"?","N",,"N",,"5 Deals on site - see site"
"Direction","http://www.directron.com/",,"Electronics / Computers","N",,"N",,
"Discount Watch Store","http://dailydeal.discountwatchstore.com/cust/dailydealsteal.asp?d=0",,"Clothing / Jewelry","N",,"Y","http://www.shareasale.com/shareasale.cfm?merchantID=14490",
"DOD Genie","http://www.dodgenie.com",,"?","N",,"N",,
"DOD Hero","http://www.dodhero.com",,"?","N",,"N",,
"DOD Hero Sidekick","http://www.dodhero.com/index.php?main_page=index&cPath=9",,"?","N",,"N",,
"DownLowTooSlow","http://www.downlowtooslow.com/",,"Outdoors / Sports","Y","http://feeds.feedburner.com/DownLowTooSlow?format=xml","N",,
"dtagifts","http://www.dtagifts.com/",,"?","N",,"N",,
"EarlsTees","http://www.earlstees.com/shop/catalog/",,"Clothing / Jewelry","N",,"N",,
"Eastwood","http://www.eastwood.com/clearance.html/",,"?","Y","http://www.eastwood.com/rss/catalog/category/cid/32/store_id/1/","N",,"Multiple Deals - See site"
"EasyStreetDeals","http://www.easystreetdeals.com/",,"?","N",,"Y","http://www.easystreetdeals.com/login.asp","Multiple deals - see site"
"eBags","http://www.ebags.com/",,"Household","N",,"N",,
"eBay Daily Deals","http://deals.ebay.com/",,"?","Y","http://deals.ebay.com/feeds/rss","N",,"Multiple deals - see site"
"Eco Baby Buys","https://www.ecobabybuys.com/",,"Household","Y","https://www.ecobabybuys.com/feeds/index.xml","N",,
"eCost","http://www.ecost.com/Email/HotSheet.aspx",,"Electronics / Computers","Y","http://feeds.feedburner.com/eCOSTDealAlert?format=xml","Y","http://www.ecost.com/Helpdesk/Affiliates.aspx","Multiple deals - see site"
"Ecosteal","http://www.ecosteal.com/",,"Household","Y","http://feeds2.feedburner.com/EcostealDealOfTheDay","N",,
"EjectIT","http://www.ejectit.com/",,"Electronics / Computers","Y","http://www.ejectit.com/rss.aspx","N",,
"Electronics Expo","http://www.electronics-expo.com/",,"Electronics / Computers","N",,"N",,
"Eternal Snow","http://www.eternalsnow.com/steal-of-the-day.html",,"Outdoors / Sports","N",,"N",,
"eWatches","http://www.ewatches.com/",,"Clothing / Jewelry","N",,"Y","https://signup.cj.com/member/brandedPublisherSignUp.do?air_refmerchantid=",
"eWatches Hourly","http://www.ewatches.com/cust/hourlydeal.asp",,"Clothing / Jewelry","Y",,"Y","https://signup.cj.com/member/brandedPublisherSignUp.do?air_refmerchantid=",
"fab","http://fab.com/deals/",,"?","N",,"N",,"Multiple deals - see site"
"Fabric.com","http://www.fabric.com/Index.aspx",,"Household","N",,"Y","http://www.fabric.com/SitePages/Affiliate.aspx",
